ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches
Q16;0;0;0;1;0;0;0;1;0;1,0
Q17;0;0;0;1;0;0;0;1;0;1,0
Q20;0;0;1;0;0;0;0;1;0;1,0
Q27;0;1;0;0;0;0;1;0;0;0
Q28;0;1;0;0;0;0;1;0;0;0
Q29;0;1;0;0;0;0;1;0;0;0
Q30;0;0;0;1;0;0;0;1;0;1,0
Q31;0;1;0;0;0;0;1;0;0;0
Q32;0;0;0;1;0;0;0;1;0;1,0
Q33;0;1;0;0;0;0;1;0;0;0
Q34;0;1;0;0;0;0;1;0;0;0
Q35;0;1;0;0;0;0;1;0;0;0
Q36;1;0;0;0;0;0;1;0;0;0
Q37;0;0;0;1;0;0;0;1;0;1,0
Q38;0;1;0;0;0;0;1;0;0;0
Q39;0;0;0;0;1;0;0;0;1;0
Q40;0;1;0;0;0;0;1;0;0;0
Q41;0;1;0;0;0;0;1;0;0;0
Q43;0;0;0;1;0;0;0;1;0;1,0
Q45;0;0;0;0;1;0;0;0;1;0
Q77;0;0;0;0;1;0;0;0;1;0
Q79;0;1;0;0;0;0;1;0;0;0
Q96;0;0;0;0;1;0;0;0;1;0
Q115;0;1;0;0;0;0;1;0;0;0
Q142;0;1;0;0;0;0;1;0;0;0
Q145;0;1;0;0;0;0;1;0;0;0
Q148;0;0;1;0;0;0;0;1;0;1,0
Q155;0;0;0;1;0;0;0;1;0;1,0
Q159;0;0;0;0;1;0;0;0;1;0
Q183;0;1;0;0;0;0;1;0;0;0
Q184;0;0;0;0;0;1;0;0;1;0
Q189;0;0;0;0;1;0;0;0;1;0
Q191;0;1;0;0;0;0;1;0;0;0
Q211;0;1;0;0;0;0;1;0;0;0
Q212;0;1;0;0;0;0;1;0;0;0
Q214;0;1;0;0;0;0;1;0;0;0
Q217;0;0;0;0;1;0;0;0;1;0
Q218;0;1;0;0;0;0;1;0;0;0
Q219;0;0;0;0;1;0;0;0;1;0
Q221;0;0;0;0;1;0;0;0;1;0
Q222;1;0;0;0;0;0;1;0;0;0
Q224;0;0;0;0;1;0;0;0;1;0
Q225;0;0;0;0;1;0;0;0;1;0
Q227;0;0;0;0;1;0;0;0;1;0
Q228;0;0;1;0;0;0;0;1;0;1,0
Q232;1;0;0;0;0;0;1;0;0;0
Q238;0;0;0;0;1;0;0;0;1;0
Q252;0;0;0;0;1;0;0;0;1;0
Q258;0;1;0;0;0;0;1;0;0;0
Q262;1;0;0;0;0;0;1;0;0;0
Q298;0;1;0;0;0;0;1;0;0;0
Q347;0;0;0;0;1;0;0;0;1;0
Q398;0;0;0;0;1;0;0;0;1;0
Q399;0;0;0;0;1;0;0;0;1;0
Q408;1;0;0;0;0;0;1;0;0;0
Q423;1;0;0;0;0;0;1;0;0;0
Q424;0;0;0;0;1;0;0;0;1;0
Q574;0;0;0;0;1;0;0;0;1;0
Q657;0;0;0;0;1;0;0;0;1;0
Q664;0;0;0;1;0;0;0;1;0;1,0
Q668;0;0;0;0;1;0;0;0;1;0
Q672;0;0;0;0;1;0;0;0;1;0
Q678;0;0;0;0;1;0;0;0;1;0
Q686;0;0;0;0;1;0;0;0;1;0
Q695;0;0;0;0;1;0;0;0;1;0
Q710;0;0;1;0;0;0;0;1;0;1,0
Q711;0;1;0;0;0;0;1;0;0;0
Q736;0;0;0;0;0;1;0;0;1;0
Q754;1;0;0;0;0;0;1;0;0;0
Q783;0;0;0;0;1;0;0;0;1;0
Q786;1;0;0;0;0;0;1;0;0;0
Q790;0;0;0;0;1;0;0;0;1;0
Q794;1;0;0;0;0;0;1;0;0;0
Q796;0;1;0;0;0;0;1;0;0;0
Q801;0;1;0;0;0;0;1;0;0;0
Q810;0;0;0;0;1;0;0;0;1;0
Q813;0;0;0;0;1;0;0;0;1;0
Q817;0;0;0;0;1;0;0;0;1;0
Q819;0;0;0;0;1;0;0;0;1;0
Q822;0;0;0;0;1;0;0;0;1;0
Q826;0;0;0;0;1;0;0;0;1;0
Q836;0;0;0;0;1;0;0;0;1;0
Q837;0;0;0;0;1;0;0;0;1;0
Q858;0;0;0;0;1;0;0;0;1;0
Q865;0;1;0;0;0;0;1;0;0;0
Q884;0;1;0;0;0;0;1;0;0;0
Q889;0;1;0;0;0;0;1;0;0;0
Q902;0;0;0;0;1;0;0;0;1;0
Q912;0;0;0;1;0;0;0;1;0;1,0
Q916;0;0;0;0;1;0;0;0;1;0
Q917;0;0;0;0;1;0;0;0;1;0
Q921;0;0;0;0;1;0;0;0;1;0
Q928;0;0;0;0;1;0;0;0;1;0
Q929;0;0;0;0;1;0;0;0;1;0
Q962;0;0;0;0;1;0;0;0;1;0
Q963;0;0;0;0;1;0;0;0;1;0
Q965;0;0;0;0;1;0;0;0;1;0
Q967;0;0;0;0;1;0;0;0;1;0
Q970;0;0;0;0;1;0;0;0;1;0
Q971;0;0;0;0;1;0;0;0;1;0
Q977;0;0;0;0;1;0;0;0;1;0
Q983;0;0;0;0;1;0;0;0;1;0
Q1000;0;0;0;0;1;0;0;0;1;0
Q1007;1;0;0;0;0;0;1;0;0;0
Q1008;0;0;0;0;1;0;0;0;1;0
Q1009;0;0;0;0;1;0;0;0;1;0
Q1013;0;0;0;0;1;0;0;0;1;0
Q1020;0;0;0;0;1;0;0;0;1;0
Q1027;0;0;0;0;1;0;0;0;1;0
Q1032;0;0;0;1;0;0;0;1;0;1,0
Q1045;0;0;0;0;1;0;0;0;1;0
Q1840;0;0;0;0;1;0;0;0;1;0
Q6392;0;0;1;0;0;0;0;1;0;1,0
Q6406;0;0;0;0;1;0;0;0;1;0
Q6448;0;0;1;0;0;0;0;1;0;1,0
Q6462;0;0;0;0;1;0;0;0;1;0
Q6467;1;0;0;0;0;0;1;0;0;0
Q6474;0;0;1;0;0;0;0;1;0;1,0
Q6477;0;0;0;0;1;0;0;0;1;0
Q6483;0;0;0;0;1;0;0;0;1;0
Q1840;0;0;0;0;1;0;0;0;1;0
Q6392;0;0;1;0;0;0;0;1;0;1,0
Q6406;0;0;0;0;1;0;0;0;1;0
Q6448;0;0;1;0;0;0;0;1;0;1,0
Q6462;0;0;0;0;1;0;0;0;1;0
Q6467;1;0;0;0;0;0;1;0;0;0
Q6474;0;0;1;0;0;0;0;1;0;1,0
Q6477;0;0;0;0;1;0;0;0;1;0
Q6483;0;0;0;0;1;0;0;0;1;0
Q1840;0;0;0;0;1;0;0;0;1;0
Q6392;0;0;1;0;0;0;0;1;0;1,0
Q6406;0;0;0;0;1;0;0;0;1;0
Q6448;0;0;1;0;0;0;0;1;0;1,0
Q6462;0;0;0;0;1;0;0;0;1;0
Q6467;1;0;0;0;0;0;1;0;0;0
Q6474;0;0;1;0;0;0;0;1;0;1,0
Q6477;0;0;0;0;1;0;0;0;1;0
Q6483;0;0;0;0;1;0;0;0;1;0
Q6696;0;0;0;0;1;0;0;0;1;0
Q6698;0;0;0;0;1;0;0;0;1;0
Q6715;0;0;0;0;1;0;0;0;1;0
Q6724;0;0;0;0;1;0;0;0;1;0
Q6780;0;0;0;0;1;0;0;0;1;0
Q6787;0;0;0;0;1;0;0;0;1;0
Q8199;0;0;1;0;0;0;0;1;0;1,0
Q8202;0;0;0;0;1;0;0;0;1;0
Q8218;0;0;0;0;1;0;0;0;1;0
Q8224;0;0;0;0;1;0;0;0;1;0
Q8239;0;0;1;0;0;0;0;1;0;1,0
Q8240;0;0;1;0;0;0;0;1;0;1,0
Q8243;0;0;0;0;1;0;0;0;1;0
Q8244;1;0;0;0;0;0;1;0;0;0
Q8245;0;0;0;0;1;0;0;0;1;0
Q8248;0;0;0;0;1;0;0;0;1;0
Q9864;0;0;1;0;0;0;0;1;0;1,0
Q9867;0;0;1;0;0;0;0;1;0;1,0
Q9897;0;0;0;0;1;0;0;0;1;0
Q9909;0;0;0;0;1;0;0;0;1;0
Q9934;0;0;0;0;1;0;0;0;1;0
Q9939;0;0;0;0;1;0;0;0;1;0
Q9998;0;0;0;0;1;0;0;0;1;0
Q10005;0;0;1;0;0;0;0;1;0;1,0
Q16074;0;0;0;0;1;0;0;0;1;0
Q18108;0;0;0;0;1;0;0;0;1;0
Q29019;0;0;0;0;1;0;0;0;1;0
Q73101;0;0;1;0;0;0;0;1;0;1,0
Q94747;1;0;0;0;0;0;1;0;0;0
Q132198;0;0;0;0;1;0;0;0;1;0
Q165662;0;0;0;0;1;0;0;0;1;0
Q171237;0;0;1;0;0;0;0;1;0;1,0
Q173933;0;0;1;0;0;0;0;1;0;1,0
Q186954;0;0;0;0;1;0;0;0;1;0
Q204239;1;0;0;0;0;0;1;0;0;0
Q214843;0;0;0;0;1;0;0;0;1;0
Q216794;0;0;0;0;1;0;0;0;1;0
Q244692;0;0;1;0;0;0;0;1;0;1,0
Q252781;0;0;1;0;0;0;0;1;0;1,0
Q258642;0;0;0;0;1;0;0;0;1;0
Q263260;0;0;0;0;1;0;0;0;1;0
Q266241;0;0;0;0;1;0;0;0;1;0
Q280857;0;0;0;0;1;0;0;0;1;0
Q302787;1;0;0;0;0;0;1;0;0;0
Q304465;0;0;0;0;1;0;0;0;1;0
Q314195;0;0;0;0;1;0;0;0;1;0
Q314367;1;0;0;0;0;0;1;0;0;0
Q315013;1;0;0;0;0;0;1;0;0;0
Q315948;1;0;0;0;0;0;1;0;0;0
Q321107;0;0;0;0;1;0;0;0;1;0
Q323196;0;0;0;0;1;0;0;0;1;0
Q332730;1;0;0;0;0;0;1;0;0;0
Q353854;1;0;0;0;0;0;1;0;0;0
Q369100;0;0;0;0;1;0;0;0;1;0
Q374030;0;0;0;0;1;0;0;0;1;0
Q383407;0;0;0;0;1;0;0;0;1;0
Q383494;0;0;1;0;0;0;0;1;0;1,0
Q387346;0;0;0;0;1;0;0;0;1;0
Q387497;0;0;0;0;1;0;0;0;1;0
Q390358;0;0;0;0;1;0;0;0;1;0
Q392343;0;0;0;0;1;0;0;0;1;0
Q428736;0;0;0;0;1;0;0;0;1;0
Q436724;0;0;0;0;1;0;0;0;1;0
Q446232;0;0;1;0;0;0;0;1;0;1,0
Q475483;0;0;1;0;0;0;0;1;0;1,0
Q488762;0;0;0;0;1;0;0;0;1;0
Q502343;0;0;1;0;0;0;0;1;0;1,0
Q505601;0;0;0;0;1;0;0;0;1;0
Q517053;0;0;1;0;0;0;0;1;0;1,0
Q545680;0;0;0;0;1;0;0;0;1;0
Q554695;0;0;0;0;1;0;0;0;1;0
Q555133;0;0;1;0;0;0;0;1;0;1,0
Q571136;0;0;0;0;1;0;0;0;1;0
Q572891;0;0;0;0;1;0;0;0;1;0
Q583161;0;0;0;0;1;0;0;0;1;0
Q583472;1;0;0;0;0;0;1;0;0;0
Q588635;1;0;0;0;0;0;1;0;0;0
Q588817;0;0;0;0;1;0;0;0;1;0
Q599331;0;0;1;0;0;0;0;1;0;1,0
Q615732;0;0;1;0;0;0;0;1;0;1,0
Q621483;0;0;0;0;1;0;0;0;1;0
Q666498;0;0;1;0;0;0;0;1;0;1,0
Q671394;1;0;0;0;0;0;1;0;0;0
Q672962;0;0;0;0;0;1;0;0;1;0
Q675854;0;0;0;0;1;0;0;0;1;0
Q681521;0;0;0;0;1;0;0;0;1;0
Q683125;0;0;0;0;0;1;0;0;1;0
Q691754;1;0;0;0;0;0;1;0;0;0
Q697215;0;0;0;0;1;0;0;0;1;0
Q700500;1;0;0;0;0;0;1;0;0;0
Q704109;0;0;0;0;1;0;0;0;1;0
Q713319;0;0;0;0;0;1;0;0;1;0
Q715716;1;0;0;0;0;0;1;0;0;0
Q723329;0;0;0;0;1;0;0;0;1;0
Q734453;0;0;0;0;1;0;0;0;1;0
Q736131;1;0;0;0;0;0;1;0;0;0
Q736186;0;0;0;0;1;0;0;0;1;0
Q737888;0;0;1;0;0;0;0;1;0;1,0
Q753891;0;0;0;0;1;0;0;0;1;0
Q767798;0;0;0;0;1;0;0;0;1;0
Q783094;0;0;0;0;1;0;0;0;1;0
Q783301;1;0;0;0;0;0;1;0;0;0
Q795623;0;0;0;0;1;0;0;0;1;0
Q797716;0;0;0;0;1;0;0;0;1;0
Q808025;1;0;0;0;0;0;1;0;0;0
Q810869;0;0;0;0;1;0;0;0;1;0
Q812726;0;0;0;0;1;0;0;0;1;0
Q812728;0;0;1;0;0;0;0;1;0;1,0
Q819221;1;0;0;0;0;0;1;0;0;0
Q832938;0;0;1;0;0;0;0;1;0;1,0
Q837211;0;0;0;0;1;0;0;0;1;0
Q846403;0;0;1;0;0;0;0;1;0;1,0
Q848324;1;0;0;0;0;0;1;0;0;0
Q848898;1;0;0;0;0;0;1;0;0;0
Q848988;1;0;0;0;0;0;1;0;0;0
Q849566;1;0;0;0;0;0;1;0;0;0
Q865549;0;0;0;0;1;0;0;0;1;0
Q865695;0;0;0;0;1;0;0;0;1;0
Q871205;0;0;0;0;1;0;0;0;1;0
Q881615;0;0;0;0;1;0;0;0;1;0
Q883533;0;0;1;0;0;0;0;1;0;1,0
Q884194;0;0;0;0;1;0;0;0;1;0
Q895695;0;0;0;0;1;0;0;0;1;0
Q896118;0;0;0;0;1;0;0;0;1;0
Q897175;1;0;0;0;0;0;1;0;0;0
Q903595;0;0;0;0;0;1;0;0;1;0
Q911309;0;0;0;0;0;1;0;0;1;0
Q920253;0;0;1;0;0;0;0;1;0;1,0
Q924520;0;0;0;0;1;0;0;0;1;0
Q932008;0;0;1;0;0;0;0;1;0;1,0
Q934511;1;0;0;0;0;0;1;0;0;0
Q940452;0;0;0;0;1;0;0;0;1;0
Q948866;1;0;0;0;0;0;1;0;0;0
Q950125;0;0;0;0;1;0;0;0;1;0
Q984769;0;0;1;0;0;0;0;1;0;1,0
Q985536;0;0;0;0;1;0;0;0;1;0
Q986049;0;0;0;0;1;0;0;0;1;0
Q990130;0;0;0;0;1;0;0;0;1;0
Q990170;0;0;0;0;1;0;0;0;1;0
Q990957;0;0;0;0;0;1;0;0;1;0
Q991253;0;0;1;0;0;0;0;1;0;1,0
Q992474;0;0;1;0;0;0;0;1;0;1,0
Q994533;0;0;0;0;1;0;0;0;1;0
Q995207;0;0;0;0;1;0;0;0;1;0
Q995803;0;0;0;0;1;0;0;0;1;0
Q998126;0;0;0;0;1;0;0;0;1;0
Q998789;1;0;0;0;0;0;1;0;0;0
Q999768;0;0;1;0;0;0;0;1;0;1,0
Q1002717;0;0;1;0;0;0;0;1;0;1,0
Q1004117;0;0;0;0;1;0;0;0;1;0
Q1004865;0;0;0;0;1;0;0;0;1;0
Q1005173;0;0;0;0;1;0;0;0;1;0
Q1005234;0;0;0;0;1;0;0;0;1;0
Q1006552;1;0;0;0;0;0;1;0;0;0
Q1006767;0;0;1;0;0;0;0;1;0;1,0
Q1007176;0;0;1;0;0;0;0;1;0;1,0
Q1007446;1;0;0;0;0;0;1;0;0;0
Q1009261;0;0;0;0;1;0;0;0;1;0
Q1009428;0;0;1;0;0;0;0;1;0;1,0
Q1009942;0;0;0;0;1;0;0;0;1;0
Q1010188;0;0;0;0;1;0;0;0;1;0
Q1012333;0;0;0;0;1;0;0;0;1;0
Q1012411;1;0;0;0;0;0;1;0;0;0
Q1015005;0;0;0;0;1;0;0;0;1;0
Q1016587;1;0;0;0;0;0;1;0;0;0
Q1016709;1;0;0;0;0;0;1;0;0;0
Q1016813;0;0;0;0;1;0;0;0;1;0
Q1017506;0;0;0;0;1;0;0;0;1;0
Q1017518;0;0;0;0;0;1;0;0;1;0
Q1017530;0;0;0;0;1;0;0;0;1;0
Q1017597;0;0;1;0;0;0;0;1;0;1,0
Q1019312;0;0;1;0;0;0;0;1;0;1,0
Q1019522;0;0;1;0;0;0;0;1;0;1,0
Q1019947;0;0;0;0;1;0;0;0;1;0
Q1024706;0;0;1;0;0;0;0;1;0;1,0
Q1025013;0;0;0;0;1;0;0;0;1;0
Q1025014;0;0;1;0;0;0;0;1;0;1,0
Q1025080;0;0;0;0;1;0;0;0;1;0
Q1025670;0;0;1;0;0;0;0;1;0;1,0
Q1025690;0;0;0;0;1;0;0;0;1;0
Q1026218;0;0;0;0;0;1;0;0;1;0
Q1026520;0;0;0;0;0;1;0;0;1;0
Q1026853;1;0;0;0;0;0;1;0;0;0
Q1041171;0;0;1;0;0;0;0;1;0;1,0
Q1048343;0;0;0;0;1;0;0;0;1;0
Q1058293;0;0;0;0;1;0;0;0;1;0
Q1078435;0;0;0;0;1;0;0;0;1;0
Q1088758;0;0;0;0;1;0;0;0;1;0
Q1089344;0;0;0;0;1;0;0;0;1;0
Q1104283;0;0;1;0;0;0;0;1;0;1,0
Q1164598;0;0;0;0;1;0;0;0;1;0
Q1170470;0;0;0;0;1;0;0;0;1;0
Q1194843;0;0;0;0;1;0;0;0;1;0
Q1194851;0;0;0;0;1;0;0;0;1;0
Q1230076;0;0;1;0;0;0;0;1;0;1,0
Q1240371;1;0;0;0;0;0;1;0;0;0
Q1270923;0;0;0;0;1;0;0;0;1;0
Q1308220;0;0;0;0;1;0;0;0;1;0
Q1333250;1;0;0;0;0;0;1;0;0;0
Q1342020;0;0;1;0;0;0;0;1;0;1,0
Q1394222;0;0;0;0;1;0;0;0;1;0
Q1396930;0;0;0;0;1;0;0;0;1;0
Q1451320;0;0;0;0;1;0;0;0;1;0
Q1482719;0;0;1;0;0;0;0;1;0;1,0
Q1485491;0;0;0;0;1;0;0;0;1;0
Q1496293;0;0;1;0;0;0;0;1;0;1,0
Q1507955;0;0;0;0;1;0;0;0;1;0
Q1521199;0;0;1;0;0;0;0;1;0;1,0
Q1534523;0;0;1;0;0;0;0;1;0;1,0
Q1536820;0;0;1;0;0;0;0;1;0;1,0
Q1546774;0;0;1;0;0;0;0;1;0;1,0
Q1555822;0;0;1;0;0;0;0;1;0;1,0
Q1593631;1;0;0;0;0;0;1;0;0;0
Q1601687;0;0;0;0;1;0;0;0;1;0
Q1607927;0;0;1;0;0;0;0;1;0;1,0
Q1613655;0;0;1;0;0;0;0;1;0;1,0
Q1615362;0;0;0;0;1;0;0;0;1;0
Q1617039;0;0;0;0;1;0;0;0;1;0
Q1673096;0;0;1;0;0;0;0;1;0;1,0
Q1714424;0;0;0;0;1;0;0;0;1;0
Q1734413;0;0;0;0;1;0;0;0;1;0
Q1742394;0;0;0;0;1;0;0;0;1;0
Q1760962;0;0;0;0;1;0;0;0;1;0
Q1774330;0;0;0;0;1;0;0;0;1;0
Q1779225;0;0;0;0;1;0;0;0;1;0
Q1807348;0;0;0;0;1;0;0;0;1;0
Q1810148;0;0;1;0;0;0;0;1;0;1,0
Q1900390;0;0;0;0;1;0;0;0;1;0
Q1926186;0;0;0;0;1;0;0;0;1;0
Q1941746;0;0;0;0;0;1;0;0;1;0
Q1946953;0;0;0;0;0;1;0;0;1;0
Q1972764;0;0;0;0;1;0;0;0;1;0
Q2012293;0;0;1;0;0;0;0;1;0;1,0
Q2116037;0;0;1;0;0;0;0;1;0;1,0
Q2120815;0;0;0;0;1;0;0;0;1;0
Q2169017;1;0;0;0;0;0;1;0;0;0
Q2251448;0;0;0;0;1;0;0;0;1;0
Q2319835;0;0;0;0;1;0;0;0;1;0
Q2402303;0;0;0;0;1;0;0;0;1;0
Q2497784;0;0;0;0;1;0;0;0;1;0
Q2532585;0;0;0;0;1;0;0;0;1;0
Q3112535;0;0;1;0;0;0;0;1;0;1,0
Q3776651;0;0;0;0;1;0;0;0;1;0
Q6404098;1;0;0;0;0;0;1;0;0;0
Q10854876;0;0;1;0;0;0;0;1;0;1,0
Q15853456;0;0;0;0;1;0;0;0;1;0
